Timestamp,Username,Photo Editor,Age,Gender,Education Level,Major,Previous User,Previous Experience,Comfort,Confidence
3/20/2019 17:58,blue_fox,Photoshop,21,Male,High School Degree,Computer Science,No,1,2,1
3/27/2019 17:54,orange-koala,Photoshop,25,Male,Bachelor's Degree,Computer Science,Yes,2,2,2
4/3/2019 16:39,brown-mustang,Photoshop,23,Female,Master's Degree,Computer Science,No,1,1,5
4/3/2019 16:54,gold-burro,Photoshop,24,Female,Bachelor's Degree,Computer Science,Yes,2,2,2
4/3/2019 18:32,inchworm-argali,Photoshop,26,Male,Bachelor's Degree,Computer Science,No,1,1,1
3/27/2019 17:17,maize-coyote,Fotor,21,Prefer not to say,High School Degree,Computer Science,No,1,1,3
4/1/2019 10:19,lemon-elk,Fotor,21,Male,High School Degree,Computer Science,No,1,1,1
4/10/2019 11:27,teal-squirrel,Fotor,26,Female,Bachelor's Degree,Computer Science,No,1,1,1
4/10/2019 17:27,icterine-cougar,Fotor,22,Female,Master's Degree,Computer Engineering,No,1,2,3
4/10/2019 17:14,green-warthog,Fotor,23,Male,High School Degree,Computer Science,Yes,2,2,3
