Username,Photo Editor,Task 1 Opening Time,Task 1 Opening # Tutorials,Task 1 Opening # Attempts,Task 1 Rotating Time,Task 1 Rotating # Tutorials,Task 1 Rotating # Attempts,Task 1 Texting Time,Task 1 Texting # Tutorials,Task 1 Texting # Attempts,Task 1 Saving Time,Task 1 Saving # Tutorials,Task 1 Saving # Attempts,Task 1 Total Time,Task 1 Accuracy,Task 2 Opening Time,Task 2 Opening # Tutorials,Task 2 Opening # Attempts,Task 2 BlurringTime,Task 2 Blurring # Tutorials,Task 2 Blurring # Attempts,Task 2 Cropping Time,Task 2 Cropping # Tutorials,Task 2 Cropping # Attempts,Task 2 Texting Time,Task 2 Texting # Tutorials,Task 2 Texting # Attempts,Task 2 Saving Time,Task 2 Saving # Tutorials,Task 2 Saving # Attempts,Task 2 Total Time,Task 2 Accuracy
blue-fox,Photoshop,31,0,1,201,0,4,106,0,1,30,0,1,368,82.06%,12,0,1,260,1,9,30,0,1,70,0,1,28,0,1,400,87.87%
orange-koala,Photoshop,17,0,1,143,0,2,128,0,1,48,0,1,336,82.50%,10,0,1,121,0,6,48,0,2,155,0,1,27,0,1,361,84.89%
brown-mustang,Photoshop,20,0,1,104,1,2,386,2,26,39,0,1,549,49.12%,54,0,2,44,0,2,43,0,1,108,0,2,26,0,1,275,86.05%
gold-burro,Photoshop,60,0,1,12,0,1,74,0,1,45,0,1,191,78.18%,18,0,1,171,0,4,35,0,1,225,0,2,20,0,20,469,60.92%
inchworm-argali,Photoshop,20,0,1,245,0,3,640,0,5,46,0,1,951,87.61%,7,0,1,659,0,8,30,0,1,159,0,1,30,0,1,885,86.49%
maize-coyote,Fotor,18,0,1,9,0,1,113,0,1,48,0,1,188,82.50%,20,0,1,325,1,8,32,0,1,304,0,1,40,0,1,721,89.85%
lemon-elk,Fotor,22,0,1,10,0,1,93,0,1,29,0,1,154,85.16%,27,0,1,280,1,5,15,0,1,79,0,1,24,0,1,425,94.72%
teal-squirrel,Fotor,20,0,1,8,0,1,139,0,1,37,0,1,230,83.52%,8,0,1,188,0,14,25,0,1,304,0,1,25,0,1,570,80.76%
icterine-cougar,Fotor,19,0,1,11,0,1,100,0,4,28,0,1,141,84.58%,7,0,1,233,1,18,28,0,1,132,0,1,17,0,1,389,62.69%
green-warthog,Fotor,22,0,1,13,0,1,212,0,5,37,0,1,284,85.03%,55,0,1,596,1,14,40,0,1,247,0,1,16,0,1,954,82.04%
